full_posRef,next_move_Ref,nb_W,nb_L,nb_D
5a2b5c45d4e46f6g5_5b24c67d367e57,e4b4,1,0,0
5a2b4c4e345f57g5_5b3c3d2456e67g6,e7c5,1,0,0
5a2b4c4e234f57g5_5b3c3d256e56f6g6,f6d4,1,0,0
5a2b4c4d5e34f567_5b35c5d246e67g6,e7b4,1,0,0
5a2b4c4d5e345f57_5b35c35d246e6g6,c3e5,1,0,0
5a2b4c245e345f5_5b23c13d23e67f6,e7d5,1,0,0
5a2b4c234d46e67_5a3b235d235e5f5,e7c5,1,0,0
5a2b46c4d2e7f7g7h7_5a3b235c56d47e3,d7d6,1,0,0
5a2b46c4d2e6f6g6h7_5a3b235c56d46e3,d6b6,1,0,0
5a2b45c4d2e7f7g7h7_5a3b23c56d457e3,d5b5,1,0,0
5a2b3d234e45f5g5_5b5c5d567e67f67,d7e8,1,0,0
5a2b3c4e24f357g5_5c3d256e356f6g6,e3d3,1,0,0
5a2b3c4e234f57g5_5c3d2356e56f6g6,d3b3,1,0,0
5a2b3c4d3e24f37g5_5c36d256e356f5,c6f6,1,0,0
5a2b3c4d234e5f5g5_5b5c5d567e68f67,e8e7,1,0,0
5a2b3c24d3e2f357_5c356d256e356,c5f5,1,0,0
5a2b34c2d3e2f357_5b5c36d256e356,b5c5,1,0,0
5a2b2c2d3e3f469h4_5d16e678f7g78h5,d6f8,1,0,0
5a2b2c2d2e34f5g4h5_5b3c34d3e26f47g5,a2b1,1,0,0
5a2b2c234d345i7_5d2e4f34g356h67,f4i7,1,0,0
5a2b2c13e34f56g7_5c2d234f34g45h5,h5f5,1,0,0
5a2b25c2d345e45_5b4c45e6f456g57,f4f7,1,0,0
5a2b25c2345e3h6_5d5e8f3678g7h7i8,c2b1,1,0,0
5a2b245d467e5f6_5a4b3c456d35e34,a2a3,1,0,0
5a2b23c34d34e45_5c5d56e678f67g5,c5e5,1,0,0
5a2b235c23d5e7f7_5b4c56d6e4f6g57h5,a2c4,1,0,0
5a2b235c23d57e7_5b4c45d6e4f67g5h5,d7f7,1,0,0
5a2b234c56d6e58_5a3c3d23457f69,d4b2,1,0,0
5a2b234c34d34e5_5c5d56e678f56g5,f5f7,1,0,0
5a2b234c34d345_5e5f56g567h567,a2c2,1,0,0
5a2b13c4e7g5h78i7_5b2c25d123e3f46,b1a1,1,0,0
5a2b125c345e4g6_5d5e6f3456g7h7i8,e4d4,1,0,0
5a2b125c345e3h6_5d5e8f3567g7h7i8,h6g5,1,0,0
5a2b125c345e3g6_5d5e7f3456g7h7i8,e3e4,1,0,0
5a2b125c345e3g5_5d5e8f3456g7h7i8,g5g6,1,0,0
5a2b125c345d4g6_5d5e5f3456g7h7i8,a2b3,1,0,0
5a2b123c3d34e4g9_5b4c567d56e7f7g8,c5f8,1,0,0
5a24b34c34e57f6_5c56d678e48f57,e7e6,1,0,0
5a24b23d7e3f4g5h6_5a3b45c123d24e7,c1c4,1,0,0
5a24b23d7e3f4g4h5_5a3b45c123d23e7,d3d4,1,0,0
5a24b234c3d23e2_5b5d5e567f567g7,f5c4,1,0,0
5a24b123c3d23e2_5b5c4d4e467f67g7,f6d5,1,0,0
5a23c456f67g56_5b245c3d346e46,a2b3,1,0,0
5a23b4c35d5e6f6g7_5b5c46d467e478,e4b4,1,0,0
5a23b456c34d5f3_5a4d12e234f4g4h5,c4a4,1,0,0
5a23b24c34d78e7_5b3c567f457h7i6,e7c7,1,0,0
5a23b1235c23d1_5d345e245g567,g7f4,1,0,0
5a234d137e7f23_5d5e234f456g45,f6f3,1,0,0
5a234b3c2d2e6g9i8_5b2c34d345e4g4h4,a2a5,1,0,0
5a1b4d5e236f678_5b23c34d7e1f9g89,c3a1,1,0,0
5a1b45c34d456e5_5d123e34f46g46,e3e5,1,0,0
5a1b3c45d234e5f3_5b12c12d1e3f4g58,c1a1,1,0,0
5a1b356c47d7f4g4_5a2c36d34e5f7g5h6,c4a2,1,0,0
5a1b2c45d567e34_5b5e568f4567g7,d5b5,1,0,0
5a1b256c47d7f4g4_5a2c36d24e5f7g5h6,b2b3,1,0,0
5a1b256c3e47f8g9_5a2b3d457e58f56,e8c6,1,0,0
5a1b256c3d6e47f8_5a2b3c6d457e5f56,d7b5,1,0,0
5a1b24d4e678f78_5e9f36g567h58i8,e6e9,1,0,0
5a1b246c3d6e47f8_5a2b35c6d45e5f56,d4d6,1,0,0
5a1b246c3d67e47_5a2b35c56d5e5f56,e5c4,1,0,0
5a1b245c5d2e236_5a4b3c23d345g4i6,d5e5,1,0,0
5a1b245c34d456_5d123e345f4g4h7,h7g6,1,0,0
5a1b245c345d45_5d123e346f4g4h7,e6e5,1,0,0
5a1b23c4d456e34_5c123f345g45h4,d6d3,1,0,0
5a1b23c4d2345e4_5c123e3f345g4h4,e4c2,1,0,0
5a1b23c24d5e5f56_5a3b15c356e6g67,g7h8,1,0,0
5a1b235c5d2e23f5_5c234d1347e4f9,d3b3,1,0,0
5a1b2345c35d36_5c24d45e35f56g6,d6a3,1,0,0
5a15b235c45d45_5d78e467f67g8h6,f6d6,1,0,0
5a14b5c345d25e9_5d67e678f5h57i5,a1b2,1,0,0
5a13b4c27d4e58f6_5a2b23c34d7e4f8g4,f6g6,1,0,0
5a13b2c57g78h78_5b13c23d23f4g4i8,g8i8,1,0,0
5a13b2c2d47e34f4_5b3456c456d35,f4c4,1,0,0
5a13b25c45d56e6_5c3d34e45f57g57,c5c3,1,0,0
5a13b25c34d56e6_5c2d34e45f56g56,e6b3,1,0,0
5a13b2356c14d5_5c2d123e345f4i7,f4c1,1,0,0
5a13b2345c3d56_5c24d34e5f56g56,a3d3,1,0,0
5a135b2345c3d3_5c245d45e35f6g6,a5a4,1,0,0
5a134b35c356d7_5b24c24d145e5f5,d4a4,1,0,0
5a134b2345c3d3_5c245d45e45f6g6,a4a2,1,0,0
5a12d2356e23h7_5b3d8e1g67h569i5,e1f2,1,0,0
5a12c4d5e3f67g6h7_5b234c25d46e6i8,c2a2,1,0,0
5a12c4d5e3f567g6_5b234c5d246e6h7,d2c2,1,0,0
5a12c4d5e34f567_5b345c5d246e6g6,b5b2,1,0,0
5a12c456f67g56_5b256c3d346e46,a1a3,1,0,0
5a12c3d2356e2h7_5b3d18g67h569i5,d1e1,1,0,0
5a12b36c3e5f7h6i6_5a5b45c56d67e6f8,e6b6,1,0,0
5a12b25c23d13e3_5d24e245f345g3,f3d1,1,0,0
5a12b245c5e236_5a4b3c3d345e4g4i6,e4c4,1,0,0
5a12b245c5e235_5a5b3c3d345e4g4i6,a5a4,1,0,0
5a12b245c4e235_5a5b3c23d345g4i6,c2e4,1,0,0
5a12b245c4d12e5_5a35b3c23d45g4i6,a3d3,1,0,0
5a12b235c23d13_5d24e2345f456,f6f3,1,0,0
5a12b123c3d3e4g9_5b4c567d56e7f6g7,f6g8,1,0,0
5a124d268e3f89_5d4e678f456g78,f4f7,1,0,0
